table,year,fname,var_name,var_type,value_filter,marstat,description,irs_col_header,xlcolumn,xl_colnumber,incsort,incrange,xlrownum,raw_value
tab14,2021,21in14ar.xls,taxint,count,nz,all,Taxable interest — number of returns,Taxable interest | Number of returns,H,8,16,"$1,000,000 under $1,500,000",24,349330.0
tab14,2021,21in14ar.xls,taxint,count,nz,all,Taxable interest — number of returns,Taxable interest | Number of returns,H,8,17,"$1,500,000 under $2,000,000",25,148403.0
tab14,2021,21in14ar.xls,taxint,count,nz,all,Taxable interest — number of returns,Taxable interest | Number of returns,H,8,18,"$2,000,000 under $5,000,000",26,225416.0
tab14,2021,21in14ar.xls,taxint,count,nz,all,Taxable interest — number of returns,Taxable interest | Number of returns,H,8,19,"$5,000,000 under $10,000,000",27,62111.0
tab14,2021,21in14ar.xls,taxint,count,nz,all,Taxable interest — number of returns,Taxable interest | Number of returns,H,8,20,"$10,000,000 or more",28,44841.0
tab14,2021,21in14ar.xls,taxint,amount,nz,all,Taxable interest,Taxable interest | Amount,I,9,1,"All returns, total",9,103535203000.0
tab14,2021,21in14ar.xls,taxint,amount,nz,all,Taxable interest,Taxable interest | Amount,I,9,2,No adjusted gross income,10,3480795000.0
tab14,2021,21in14ar.xls,taxint,amount,nz,all,Taxable interest,Taxable interest | Amount,I,9,3,"$1 under $5,000",11,448690000.0
tab14,2021,21in14ar.xls,taxint,amount,nz,all,Taxable interest,Taxable interest | Amount,I,9,4,"$5,000 under $10,000",12,510374000.0
tab14,2021,21in14ar.xls,taxint,amount,nz,all,Taxable interest,Taxable interest | Amount,I,9,5,"$10,000 under $15,000",13,647673000.0
tab14,2021,21in14ar.xls,taxint,amount,nz,all,Taxable interest,Taxable interest | Amount,I,9,6,"$15,000 under $20,000",14,671713000.0
tab14,2021,21in14ar.xls,taxint,amount,nz,all,Taxable interest,Taxable interest | Amount,I,9,7,"$20,000 under $25,000",15,678317000.0
tab14,2021,21in14ar.xls,taxint,amount,nz,all,Taxable interest,Taxable interest | Amount,I,9,8,"$25,000 under $30,000",16,739131000.0
tab14,2021,21in14ar.xls,taxint,amount,nz,all,Taxable interest,Taxable interest | Amount,I,9,9,"$30,000 under $40,000",17,1349938000.0
tab14,2021,21in14ar.xls,taxint,amount,nz,all,Taxable interest,Taxable interest | Amount,I,9,10,"$40,000 under $50,000",18,1523359000.0
tab14,2021,21in14ar.xls,taxint,amount,nz,all,Taxable interest,Taxable interest | Amount,I,9,11,"$50,000 under $75,000",19,4385387000.0
tab14,2021,21in14ar.xls,taxint,amount,nz,all,Taxable interest,Taxable interest | Amount,I,9,12,"$75,000 under $100,000",20,4173567000.0
tab14,2021,21in14ar.xls,taxint,amount,nz,all,Taxable interest,Taxable interest | Amount,I,9,13,"$100,000 under $200,000",21,13402654000.0
tab14,2021,21in14ar.xls,taxint,amount,nz,all,Taxable interest,Taxable interest | Amount,I,9,14,"$200,000 under $500,000",22,14439132000.0
tab14,2021,21in14ar.xls,taxint,amount,nz,all,Taxable interest,Taxable interest | Amount,I,9,15,"$500,000 under $1,000,000",23,8049644000.0
tab14,2021,21in14ar.xls,taxint,amount,nz,all,Taxable interest,Taxable interest | Amount,I,9,16,"$1,000,000 under $1,500,000",24,4459247000.0
tab14,2021,21in14ar.xls,taxint,amount,nz,all,Taxable interest,Taxable interest | Amount,I,9,17,"$1,500,000 under $2,000,000",25,2875469000.0
tab14,2021,21in14ar.xls,taxint,amount,nz,all,Taxable interest,Taxable interest | Amount,I,9,18,"$2,000,000 under $5,000,000",26,9097803000.0
tab14,2021,21in14ar.xls,taxint,amount,nz,all,Taxable interest,Taxable interest | Amount,I,9,19,"$5,000,000 under $10,000,000",27,6177098000.0
tab14,2021,21in14ar.xls,taxint,amount,nz,all,Taxable interest,Taxable interest | Amount,I,9,20,"$10,000,000 or more",28,26425211000.0
tab14,2021,21in14ar.xls,exemptint,count,nz,all,Tax-exempt interest — number of returns,Tax-exempt interest [1] | Number of returns,J,10,1,"All returns, total",9,6569327.0
tab14,2021,21in14ar.xls,exemptint,count,nz,all,Tax-exempt interest — number of returns,Tax-exempt interest [1] | Number of returns,J,10,2,No adjusted gross income,10,57924.0
tab14,2021,21in14ar.xls,exemptint,count,nz,all,Tax-exempt interest — number of returns,Tax-exempt interest [1] | Number of returns,J,10,3,"$1 under $5,000",11,81923.0
tab14,2021,21in14ar.xls,exemptint,count,nz,all,Tax-exempt interest — number of returns,Tax-exempt interest [1] | Number of returns,J,10,4,"$5,000 under $10,000",12,73701.0
tab14,2021,21in14ar.xls,exemptint,count,nz,all,Tax-exempt interest — number of returns,Tax-exempt interest [1] | Number of returns,J,10,5,"$10,000 under $15,000",13,88828.0
tab14,2021,21in14ar.xls,exemptint,count,nz,all,Tax-exempt interest — number of returns,Tax-exempt interest [1] | Number of returns,J,10,6,"$15,000 under $20,000",14,86676.0
tab14,2021,21in14ar.xls,exemptint,count,nz,all,Tax-exempt interest — number of returns,Tax-exempt interest [1] | Number of returns,J,10,7,"$20,000 under $25,000",15,83587.0
tab14,2021,21in14ar.xls,exemptint,count,nz,all,Tax-exempt interest — number of returns,Tax-exempt interest [1] | Number of returns,J,10,8,"$25,000 under $30,000",16,84213.0
tab14,2021,21in14ar.xls,exemptint,count,nz,all,Tax-exempt interest — number of returns,Tax-exempt interest [1] | Number of returns,J,10,9,"$30,000 under $40,000",17,185185.0
tab14,2021,21in14ar.xls,exemptint,count,nz,all,Tax-exempt interest — number of returns,Tax-exempt interest [1] | Number of returns,J,10,10,"$40,000 under $50,000",18,241353.0
tab14,2021,21in14ar.xls,exemptint,count,nz,all,Tax-exempt interest — number of returns,Tax-exempt interest [1] | Number of returns,J,10,11,"$50,000 under $75,000",19,639872.0
tab14,2021,21in14ar.xls,exemptint,count,nz,all,Tax-exempt interest — number of returns,Tax-exempt interest [1] | Number of returns,J,10,12,"$75,000 under $100,000",20,630282.0
tab14,2021,21in14ar.xls,exemptint,count,nz,all,Tax-exempt interest — number of returns,Tax-exempt interest [1] | Number of returns,J,10,13,"$100,000 under $200,000",21,1867180.0
tab14,2021,21in14ar.xls,exemptint,count,nz,all,Tax-exempt interest — number of returns,Tax-exempt interest [1] | Number of returns,J,10,14,"$200,000 under $500,000",22,1535001.0
tab14,2021,21in14ar.xls,exemptint,count,nz,all,Tax-exempt interest — number of returns,Tax-exempt interest [1] | Number of returns,J,10,15,"$500,000 under $1,000,000",23,509107.0
tab14,2021,21in14ar.xls,exemptint,count,nz,all,Tax-exempt interest — number of returns,Tax-exempt interest [1] | Number of returns,J,10,16,"$1,000,000 under $1,500,000",24,148862.0
tab14,2021,21in14ar.xls,exemptint,count,nz,all,Tax-exempt interest — number of returns,Tax-exempt interest [1] | Number of returns,J,10,17,"$1,500,000 under $2,000,000",25,69529.0
tab14,2021,21in14ar.xls,exemptint,count,nz,all,Tax-exempt interest — number of returns,Tax-exempt interest [1] | Number of returns,J,10,18,"$2,000,000 under $5,000,000",26,118422.0
tab14,2021,21in14ar.xls,exemptint,count,nz,all,Tax-exempt interest — number of returns,Tax-exempt interest [1] | Number of returns,J,10,19,"$5,000,000 under $10,000,000",27,37253.0
tab14,2021,21in14ar.xls,exemptint,count,nz,all,Tax-exempt interest — number of returns,Tax-exempt interest [1] | Number of returns,J,10,20,"$10,000,000 or more",28,30429.0
tab14,2021,21in14ar.xls,exemptint,amount,nz,all,Tax-exempt interest,Tax-exempt interest [1] | Amount,K,11,1,"All returns, total",9,55518422000.0
tab14,2021,21in14ar.xls,exemptint,amount,nz,all,Tax-exempt interest,Tax-exempt interest [1] | Amount,K,11,2,No adjusted gross income,10,958274000.0
tab14,2021,21in14ar.xls,exemptint,amount,nz,all,Tax-exempt interest,Tax-exempt interest [1] | Amount,K,11,3,"$1 under $5,000",11,88126000.0
tab14,2021,21in14ar.xls,exemptint,amount,nz,all,Tax-exempt interest,Tax-exempt interest [1] | Amount,K,11,4,"$5,000 under $10,000",12,202799000.0
tab14,2021,21in14ar.xls,exemptint,amount,nz,all,Tax-exempt interest,Tax-exempt interest [1] | Amount,K,11,5,"$10,000 under $15,000",13,190552000.0
tab14,2021,21in14ar.xls,exemptint,amount,nz,all,Tax-exempt interest,Tax-exempt interest [1] | Amount,K,11,6,"$15,000 under $20,000",14,166021000.0
tab14,2021,21in14ar.xls,exemptint,amount,nz,all,Tax-exempt interest,Tax-exempt interest [1] | Amount,K,11,7,"$20,000 under $25,000",15,254288000.0
tab14,2021,21in14ar.xls,exemptint,amount,nz,all,Tax-exempt interest,Tax-exempt interest [1] | Amount,K,11,8,"$25,000 under $30,000",16,183046000.0
tab14,2021,21in14ar.xls,exemptint,amount,nz,all,Tax-exempt interest,Tax-exempt interest [1] | Amount,K,11,9,"$30,000 under $40,000",17,485953000.0
tab14,2021,21in14ar.xls,exemptint,amount,nz,all,Tax-exempt interest,Tax-exempt interest [1] | Amount,K,11,10,"$40,000 under $50,000",18,674362000.0
